category_id,category_name,parent_category_id,level,created_at
1,Personal Care,NULL,1,2026-05-30 01:02:24
2,Dairy & Bakery,NULL,1,2026-05-30 01:02:24
3,Groceries & Staples,NULL,1,2026-05-30 01:02:24
4,Snacks & Confectionery,NULL,1,2026-05-30 01:02:24
5,Frozen & Non-Veg,NULL,1,2026-05-30 01:02:24
6,Home Care,NULL,1,2026-05-30 01:02:24
7,Beverages,NULL,1,2026-05-30 01:02:24
8,Fruits & Vegetables,NULL,1,2026-05-30 01:02:24
16,Oral Care,1,2,2026-05-30 01:02:24
17,Skin Care,1,2,2026-05-30 01:02:24
18,Milk & Curd,2,2,2026-05-30 01:02:24
19,Atta & Flours,3,2,2026-05-30 01:02:24
20,Candy & Mints,4,2,2026-05-30 01:02:24
21,Chips & Namkeen,4,2,2026-05-30 01:02:24
22,Bread & Bakery,2,2,2026-05-30 01:02:24
23,Ice Cream,5,2,2026-05-30 01:02:24
24,Biscuits,4,2,2026-05-30 01:02:24
25,Dishwash,6,2,2026-05-30 01:02:24
26,Frozen Snacks,5,2,2026-05-30 01:02:24
27,Bath & Soap,1,2,2026-05-30 01:02:24
28,Pulses & Dals,3,2,2026-05-30 01:02:24
29,Soft Drinks,7,2,2026-05-30 01:02:24
30,Spices,3,2,2026-05-30 01:02:24
31,Detergents,6,2,2026-05-30 01:02:24
32,Hair Care,1,2,2026-05-30 01:02:24
33,Sugar & Salt,3,2,2026-05-30 01:02:24
34,Chocolates,4,2,2026-05-30 01:02:24
35,Fresh Vegetables,8,2,2026-05-30 01:02:24
36,Floor & Toilet,6,2,2026-05-30 01:02:24
37,Fresh Fruits,8,2,2026-05-30 01:02:24
38,Frozen Meat,5,2,2026-05-30 01:02:24
39,Tea,7,2,2026-05-30 01:02:24
40,Exotic Vegetables,8,2,2026-05-30 01:02:24
41,Repellents,6,2,2026-05-30 01:02:24
42,Edible Oils,3,2,2026-05-30 01:02:24
43,Butter & Cheese,2,2,2026-05-30 01:02:24
44,Rice & Grains,3,2,2026-05-30 01:02:24
45,Eggs,5,2,2026-05-30 01:02:24
46,Deodorants,1,2,2026-05-30 01:02:24
47,Juices,7,2,2026-05-30 01:02:24
48,Coffee,7,2,2026-05-30 01:02:24
49,Air Fresheners,6,2,2026-05-30 01:02:24
50,Water,7,2,2026-05-30 01:02:24
79,Toothpaste,16,3,2026-05-30 01:02:24
80,Face Wash,17,3,2026-05-30 01:02:24
81,Toned Milk,18,3,2026-05-30 01:02:24
82,Sooji,19,3,2026-05-30 01:02:24
83,Mints,20,3,2026-05-30 01:02:24
84,Khakra,21,3,2026-05-30 01:02:24
85,Full Cream Milk,18,3,2026-05-30 01:02:24
86,Pav,22,3,2026-05-30 01:02:24
87,Strawberry Ice Cream,23,3,2026-05-30 01:02:24
88,Crackers,24,3,2026-05-30 01:02:24
89,Dishwash Powder,25,3,2026-05-30 01:02:24
90,Veg Cutlet,26,3,2026-05-30 01:02:24
91,Bar Soap,27,3,2026-05-30 01:02:24
92,Rajma,28,3,2026-05-30 01:02:24
93,Dishwash Liquid,25,3,2026-05-30 01:02:24
94,Face Cream,17,3,2026-05-30 01:02:24
95,Orange Drink,29,3,2026-05-30 01:02:24
96,Toothbrush,16,3,2026-05-30 01:02:24
97,Brown Bread,22,3,2026-05-30 01:02:24
98,Turmeric Powder,30,3,2026-05-30 01:02:24
99,Detergent Bar,31,3,2026-05-30 01:02:24
100,Buttermilk,18,3,2026-05-30 01:02:24
101,Conditioner,32,3,2026-05-30 01:02:24
102,Bhujia,21,3,2026-05-30 01:02:24
103,Iodized Salt,33,3,2026-05-30 01:02:24
