inventory_id,product_id,store_id,quantity_on_hand,quantity_reserved,reorder_point,last_updated
1,1373,1,311,0,10,2026-05-30 01:02:35
2,1413,1,219,0,10,2026-05-30 01:02:35
3,412,1,528,0,10,2026-05-30 01:02:35
4,1635,1,295,0,10,2026-05-30 01:02:35
5,236,1,348,0,10,2026-05-30 01:02:35
6,1571,1,354,0,10,2026-05-30 01:02:35
7,1703,1,208,0,10,2026-05-30 01:02:35
8,1298,1,72,0,10,2026-05-30 01:02:35
9,357,1,222,0,10,2026-05-30 01:02:35
10,265,1,533,0,10,2026-05-30 01:02:35
11,496,1,27,0,10,2026-05-30 01:02:35
12,665,1,241,0,10,2026-05-30 01:02:35
13,596,1,415,0,10,2026-05-30 01:02:35
14,1297,1,237,0,10,2026-05-30 01:02:35
15,1141,1,102,0,10,2026-05-30 01:02:35
16,489,1,226,0,10,2026-05-30 01:02:35
17,1579,1,322,0,10,2026-05-30 01:02:35
18,624,1,373,0,10,2026-05-30 01:02:35
19,152,1,370,0,10,2026-05-30 01:02:35
20,1001,1,95,0,10,2026-05-30 01:02:35
21,1499,1,154,0,10,2026-05-30 01:02:35
22,260,1,202,0,10,2026-05-30 01:02:35
23,631,1,220,0,10,2026-05-30 01:02:35
24,1381,1,502,0,10,2026-05-30 01:02:35
25,702,1,437,0,10,2026-05-30 01:02:35
26,79,1,366,0,10,2026-05-30 01:02:35
27,1708,1,97,0,10,2026-05-30 01:02:35
28,358,1,403,0,10,2026-05-30 01:02:35
29,651,1,267,0,10,2026-05-30 01:02:35
30,479,1,337,0,10,2026-05-30 01:02:35
31,1470,1,266,0,10,2026-05-30 01:02:35
32,879,1,563,0,10,2026-05-30 01:02:35
33,1582,1,223,0,10,2026-05-30 01:02:35
34,1717,1,253,0,10,2026-05-30 01:02:35
35,765,1,225,0,10,2026-05-30 01:02:35
36,1207,1,550,0,10,2026-05-30 01:02:35
37,1374,1,123,0,10,2026-05-30 01:02:35
38,1505,1,100,0,10,2026-05-30 01:02:35
39,1610,1,158,0,10,2026-05-30 01:02:35
40,1466,1,184,0,10,2026-05-30 01:02:35
41,867,1,224,0,10,2026-05-30 01:02:35
42,795,1,359,0,10,2026-05-30 01:02:35
43,1656,1,135,0,10,2026-05-30 01:02:35
44,776,1,321,0,10,2026-05-30 01:02:35
45,840,1,456,0,10,2026-05-30 01:02:35
46,1039,1,306,0,10,2026-05-30 01:02:35
47,946,1,247,0,10,2026-05-30 01:02:35
48,1012,1,452,0,10,2026-05-30 01:02:35
49,76,1,114,0,10,2026-05-30 01:02:35
50,1185,1,243,0,10,2026-05-30 01:02:35
51,103,1,7,0,10,2026-05-30 01:02:35
52,1380,1,73,0,10,2026-05-30 01:02:35
53,1808,1,549,0,10,2026-05-30 01:02:35
54,1415,1,268,0,10,2026-05-30 01:02:35
55,1933,1,216,0,10,2026-05-30 01:02:35
56,1879,1,20,0,10,2026-05-30 01:02:35
57,342,1,239,0,10,2026-05-30 01:02:35
58,18,1,292,0,10,2026-05-30 01:02:35
59,1671,1,382,0,10,2026-05-30 01:02:35
60,1438,1,554,0,10,2026-05-30 01:02:35
61,224,1,104,0,10,2026-05-30 01:02:35
62,1898,1,495,0,10,2026-05-30 01:02:35
63,295,1,117,0,10,2026-05-30 01:02:35
64,1922,1,122,0,10,2026-05-30 01:02:35
65,69,1,265,0,10,2026-05-30 01:02:35
66,282,1,122,0,10,2026-05-30 01:02:35
67,244,1,396,0,10,2026-05-30 01:02:35
68,213,1,490,0,10,2026-05-30 01:02:35
69,1443,1,176,0,10,2026-05-30 01:02:35
70,1790,1,200,0,10,2026-05-30 01:02:35
71,259,1,380,0,10,2026-05-30 01:02:35
72,1900,1,116,0,10,2026-05-30 01:02:35
73,150,1,320,0,10,2026-05-30 01:02:35
74,1208,1,388,0,10,2026-05-30 01:02:35
75,567,1,270,0,10,2026-05-30 01:02:35
76,1140,1,392,0,10,2026-05-30 01:02:35
77,1307,1,231,0,10,2026-05-30 01:02:35
78,730,1,189,0,10,2026-05-30 01:02:35
79,1680,1,256,0,10,2026-05-30 01:02:35
80,399,1,248,0,10,2026-05-30 01:02:35
81,521,1,216,0,10,2026-05-30 01:02:35
82,241,1,626,0,10,2026-05-30 01:02:35
83,729,1,409,0,10,2026-05-30 01:02:35
84,257,1,337,0,10,2026-05-30 01:02:35
85,831,1,545,0,10,2026-05-30 01:02:35
86,966,1,389,0,10,2026-05-30 01:02:35
87,1989,1,187,0,10,2026-05-30 01:02:35
88,1376,1,539,0,10,2026-05-30 01:02:35
89,1654,1,473,0,10,2026-05-30 01:02:35
90,1041,1,114,0,10,2026-05-30 01:02:35
91,217,1,335,0,10,2026-05-30 01:02:35
92,306,1,391,0,10,2026-05-30 01:02:35
93,1657,1,237,0,10,2026-05-30 01:02:35
94,1256,1,560,0,10,2026-05-30 01:02:35
95,1999,1,241,0,10,2026-05-30 01:02:35
96,173,1,153,0,10,2026-05-30 01:02:35
97,216,1,117,0,10,2026-05-30 01:02:35
98,1547,1,657,0,10,2026-05-30 01:02:35
99,1259,1,202,0,10,2026-05-30 01:02:35
100,1739,1,245,0,10,2026-05-30 01:02:35
101,1764,1,124,0,10,2026-05-30 01:02:35
102,211,1,508,0,10,2026-05-30 01:02:35
103,136,1,118,0,10,2026-05-30 01:02:35
104,134,1,413,0,10,2026-05-30 01:02:35
105,1659,1,272,0,10,2026-05-30 01:02:35
106,197,1,353,0,10,2026-05-30 01:02:35
107,1412,1,181,0,10,2026-05-30 01:02:35
108,102,1,212,0,10,2026-05-30 01:02:35
109,683,1,133,0,10,2026-05-30 01:02:35
110,1215,1,93,0,10,2026-05-30 01:02:35
111,1577,1,293,0,10,2026-05-30 01:02:35
112,788,1,215,0,10,2026-05-30 01:02:35
113,1580,1,392,0,10,2026-05-30 01:02:35
114,424,1,86,0,10,2026-05-30 01:02:35
115,713,1,321,0,10,2026-05-30 01:02:35
116,527,1,97,0,10,2026-05-30 01:02:35
117,1423,1,511,0,10,2026-05-30 01:02:35
118,272,2,259,0,10,2026-05-30 01:02:35
119,1356,2,214,0,10,2026-05-30 01:02:35
120,1081,2,145,0,10,2026-05-30 01:02:35
121,1656,2,538,0,10,2026-05-30 01:02:35
122,247,2,164,0,10,2026-05-30 01:02:35
123,891,2,218,0,10,2026-05-30 01:02:35
124,996,2,342,0,10,2026-05-30 01:02:35
125,1175,2,551,0,10,2026-05-30 01:02:35
126,1966,2,31,0,10,2026-05-30 01:02:35
127,1913,2,384,0,10,2026-05-30 01:02:35
128,330,2,489,0,10,2026-05-30 01:02:35
129,1315,2,270,0,10,2026-05-30 01:02:35
130,1521,2,178,0,10,2026-05-30 01:02:35
131,1345,2,232,0,10,2026-05-30 01:02:35
132,63,2,538,0,10,2026-05-30 01:02:35
133,892,2,99,0,10,2026-05-30 01:02:35
134,795,2,361,0,10,2026-05-30 01:02:35
135,418,2,314,0,10,2026-05-30 01:02:35
136,409,2,238,0,10,2026-05-30 01:02:35
137,1474,2,190,0,10,2026-05-30 01:02:35
138,1022,2,432,0,10,2026-05-30 01:02:35
139,453,2,423,0,10,2026-05-30 01:02:35
140,1660,2,260,0,10,2026-05-30 01:02:35
141,1445,2,562,0,10,2026-05-30 01:02:35
142,777,2,294,0,10,2026-05-30 01:02:35
143,1853,2,56,0,10,2026-05-30 01:02:35
144,1159,2,517,0,10,2026-05-30 01:02:35
145,620,2,248,0,10,2026-05-30 01:02:35
146,902,2,326,0,10,2026-05-30 01:02:35
147,534,2,226,0,10,2026-05-30 01:02:35
148,186,2,138,0,10,2026-05-30 01:02:35
149,881,2,257,0,10,2026-05-30 01:02:35
150,967,2,633,0,10,2026-05-30 01:02:35
151,864,2,524,0,10,2026-05-30 01:02:35
152,221,2,267,0,10,2026-05-30 01:02:35
153,827,2,208,0,10,2026-05-30 01:02:35
154,1354,2,52,0,10,2026-05-30 01:02:35
155,1574,2,320,0,10,2026-05-30 01:02:35
156,1404,2,206,0,10,2026-05-30 01:02:35
157,1722,2,429,0,10,2026-05-30 01:02:35
158,1364,2,308,0,10,2026-05-30 01:02:35
159,354,2,157,0,10,2026-05-30 01:02:35
160,3,2,167,0,10,2026-05-30 01:02:35
161,997,2,454,0,10,2026-05-30 01:02:35
162,396,2,116,0,10,2026-05-30 01:02:35
163,167,2,157,0,10,2026-05-30 01:02:35
164,476,2,282,0,10,2026-05-30 01:02:35
165,570,2,168,0,10,2026-05-30 01:02:35
166,1367,2,269,0,10,2026-05-30 01:02:35
167,1931,2,454,0,10,2026-05-30 01:02:35
168,1377,2,408,0,10,2026-05-30 01:02:35
169,1905,2,187,0,10,2026-05-30 01:02:35
170,1902,2,109,0,10,2026-05-30 01:02:35
171,1272,2,120,0,10,2026-05-30 01:02:35
172,684,2,34,0,10,2026-05-30 01:02:35
173,12,2,314,0,10,2026-05-30 01:02:35
174,1529,2,468,0,10,2026-05-30 01:02:35
175,1586,2,207,0,10,2026-05-30 01:02:35
176,1810,2,592,0,10,2026-05-30 01:02:35
177,1064,2,14,0,10,2026-05-30 01:02:35
178,28,2,192,0,10,2026-05-30 01:02:35
179,1585,2,150,0,10,2026-05-30 01:02:35
180,850,2,289,0,10,2026-05-30 01:02:35
181,529,2,520,0,10,2026-05-30 01:02:35
182,359,2,252,0,10,2026-05-30 01:02:35
183,1257,2,645,0,10,2026-05-30 01:02:35
184,1079,2,256,0,10,2026-05-30 01:02:35
185,845,2,100,0,10,2026-05-30 01:02:35
186,873,2,233,0,10,2026-05-30 01:02:35
187,686,2,107,0,10,2026-05-30 01:02:35
188,1740,2,198,0,10,2026-05-30 01:02:35
189,1752,2,334,0,10,2026-05-30 01:02:35
190,1463,2,14,0,10,2026-05-30 01:02:35
191,1171,2,347,0,10,2026-05-30 01:02:35
192,238,2,498,0,10,2026-05-30 01:02:35
193,1866,2,386,0,10,2026-05-30 01:02:35
194,1579,2,233,0,10,2026-05-30 01:02:35
195,242,2,400,0,10,2026-05-30 01:02:35
196,1299,2,218,0,10,2026-05-30 01:02:35
197,1224,2,149,0,10,2026-05-30 01:02:35
198,127,2,282,0,10,2026-05-30 01:02:35
199,725,2,153,0,10,2026-05-30 01:02:35
200,821,2,491,0,10,2026-05-30 01:02:35
201,473,2,322,0,10,2026-05-30 01:02:35
202,1104,2,306,0,10,2026-05-30 01:02:35
203,399,2,31,0,10,2026-05-30 01:02:35
204,278,2,362,0,10,2026-05-30 01:02:35
205,1705,2,72,0,10,2026-05-30 01:02:35
206,1151,2,298,0,10,2026-05-30 01:02:35
207,274,2,327,0,10,2026-05-30 01:02:35
208,102,2,205,0,10,2026-05-30 01:02:35
209,1889,2,99,0,10,2026-05-30 01:02:35
210,138,2,153,0,10,2026-05-30 01:02:35
211,706,2,402,0,10,2026-05-30 01:02:35
212,879,2,70,0,10,2026-05-30 01:02:35
213,1498,2,99,0,10,2026-05-30 01:02:35
214,1701,2,442,0,10,2026-05-30 01:02:35
215,683,2,294,0,10,2026-05-30 01:02:35
216,458,2,273,0,10,2026-05-30 01:02:35
217,550,2,254,0,10,2026-05-30 01:02:35
218,69,2,233,0,10,2026-05-30 01:02:35
219,693,2,510,0,10,2026-05-30 01:02:35
220,1739,2,279,0,10,2026-05-30 01:02:35
221,1617,3,475,0,10,2026-05-30 01:02:35
222,1442,3,497,0,10,2026-05-30 01:02:35
223,1054,3,279,0,10,2026-05-30 01:02:35
224,810,3,314,0,10,2026-05-30 01:02:35
225,172,3,346,0,10,2026-05-30 01:02:35
226,155,3,83,0,10,2026-05-30 01:02:35
227,74,3,335,0,10,2026-05-30 01:02:35
228,58,3,365,0,10,2026-05-30 01:02:35
229,770,3,541,0,10,2026-05-30 01:02:35
230,175,3,204,0,10,2026-05-30 01:02:35
231,759,3,49,0,10,2026-05-30 01:02:35
232,1316,3,41,0,10,2026-05-30 01:02:35
233,901,3,570,0,10,2026-05-30 01:02:35
234,102,3,185,0,10,2026-05-30 01:02:35
235,621,3,171,0,10,2026-05-30 01:02:35
236,462,3,591,0,10,2026-05-30 01:02:35
237,1373,3,247,0,10,2026-05-30 01:02:35
238,1886,3,176,0,10,2026-05-30 01:02:35
239,1555,3,104,0,10,2026-05-30 01:02:35
240,1448,3,348,0,10,2026-05-30 01:02:35
241,323,3,213,0,10,2026-05-30 01:02:35
242,1539,3,265,0,10,2026-05-30 01:02:35
243,1489,3,289,0,10,2026-05-30 01:02:35
244,1945,3,527,0,10,2026-05-30 01:02:35
245,1092,3,300,0,10,2026-05-30 01:02:35
246,997,3,122,0,10,2026-05-30 01:02:35
