order_item_id,order_id,product_id,quantity,unit_price,discount_percent,discount_amount,net_price
1,799,1,4,224.00,0.1846,41.35,730.60
2,4544,1,2,224.00,0.1161,26.01,395.98
3,6408,1,3,224.00,0.0287,6.43,652.71
4,12999,1,5,224.00,0.0611,13.69,1051.55
5,23913,1,1,224.00,0.0040,0.90,223.10
6,24805,1,5,224.00,0.0752,16.84,1035.80
7,26050,1,1,224.00,0.0998,22.36,201.64
8,26164,1,5,224.00,0.0539,12.07,1059.65
9,29974,1,4,224.00,0.0900,20.16,815.36
10,30370,1,3,224.00,0.0126,2.82,663.54
11,34705,1,3,224.00,0.0246,5.51,655.47
12,36002,1,4,224.00,0.0968,21.68,809.28
13,36659,1,5,224.00,0.0302,6.76,1086.20
14,37078,1,4,224.00,0.1707,38.24,743.04
15,38281,1,1,224.00,0.1912,42.83,181.17
16,40679,1,1,224.00,0.0920,20.61,203.39
17,43418,1,4,224.00,0.0653,14.63,837.48
18,45775,1,2,224.00,0.0836,18.73,410.54
19,46639,1,4,224.00,0.0962,21.55,809.80
20,47521,1,5,224.00,0.1542,34.54,947.30
21,48759,1,2,224.00,0.1869,41.87,364.26
22,1626,2,5,155.00,0.1894,29.36,628.20
23,9096,2,2,155.00,0.0133,2.06,305.88
24,10866,2,1,155.00,0.0219,3.39,151.61
25,13629,2,3,155.00,0.0973,15.08,419.76
26,16701,2,4,155.00,0.1552,24.06,523.76
27,16760,2,1,155.00,0.3650,56.58,98.42
28,20564,2,5,155.00,0.0271,4.20,754.00
29,28812,2,5,155.00,0.0362,5.61,746.95
30,32320,2,4,155.00,0.0737,11.42,574.32
31,33462,2,2,155.00,0.0260,4.03,301.94
32,34775,2,3,155.00,0.0527,8.17,440.49
33,35888,2,5,155.00,0.0783,12.14,714.30
34,36838,2,5,155.00,0.0480,7.44,737.80
35,39540,2,4,155.00,0.2462,38.16,467.36
36,39938,2,4,155.00,0.2195,34.02,483.92
37,41960,2,5,155.00,0.1081,16.76,691.20
38,42210,2,1,155.00,0.0121,1.88,153.12
39,42492,2,4,155.00,0.0663,10.28,578.88
40,43398,2,4,155.00,0.0798,12.37,570.52
41,43828,2,1,155.00,0.2040,31.62,123.38
42,48268,2,1,155.00,0.1739,26.95,128.05
43,3211,3,2,54.00,0.0922,4.98,98.04
44,4450,3,1,54.00,0.0562,3.03,50.97
45,6204,3,2,54.00,0.0854,4.61,98.78
46,6780,3,2,54.00,0.0419,2.26,103.48
47,10819,3,4,54.00,0.3756,20.28,134.88
48,12435,3,1,54.00,0.0092,0.50,53.50
49,14288,3,1,54.00,0.0020,0.11,53.89
50,14809,3,4,54.00,0.0976,5.27,194.92
51,15419,3,4,54.00,0.0810,4.37,198.52
52,17936,3,2,54.00,0.0999,5.39,97.22
53,18765,3,3,54.00,0.0722,3.90,150.30
54,23235,3,2,54.00,0.1799,9.71,88.58
55,23408,3,1,54.00,0.1792,9.68,44.32
56,27015,3,3,54.00,0.1142,6.17,143.49
57,29114,3,1,54.00,0.0063,0.34,53.66
58,32818,3,4,54.00,0.3641,19.66,137.36
59,37781,3,2,54.00,0.1545,8.34,91.32
60,37898,3,1,54.00,0.0583,3.15,50.85
61,37938,3,3,54.00,0.0059,0.32,161.04
62,39597,3,3,54.00,0.0317,1.71,156.87
63,40010,3,1,54.00,0.0700,3.78,50.22
64,40931,3,2,54.00,0.0403,2.18,103.64
65,41309,3,3,54.00,0.0445,2.40,154.80
66,43823,3,5,54.00,0.0431,2.33,258.35
67,45901,3,5,54.00,0.1541,8.32,228.40
68,48944,3,1,54.00,0.1033,5.58,48.42
69,3874,4,1,49.00,0.1526,7.48,41.52
70,4078,4,4,49.00,0.1334,6.54,169.84
71,5180,4,5,49.00,0.0290,1.42,237.90
72,7406,4,4,49.00,0.1975,9.68,157.28
73,9335,4,3,49.00,0.0416,2.04,140.88
74,11330,4,5,49.00,0.1064,5.21,218.95
75,16064,4,5,49.00,0.3437,16.84,160.80
76,18675,4,2,49.00,0.0423,2.07,93.86
77,20401,4,1,49.00,0.2480,12.15,36.85
78,20676,4,5,49.00,0.0577,2.83,230.85
79,26359,4,3,49.00,0.0070,0.34,145.98
80,27642,4,1,49.00,0.0216,1.06,47.94
81,30156,4,2,49.00,0.0187,0.92,96.16
82,30300,4,2,49.00,0.0978,4.79,88.42
83,30504,4,3,49.00,0.0327,1.60,142.20
84,34579,4,1,49.00,0.1552,7.60,41.40
85,34770,4,4,49.00,0.0551,2.70,185.20
86,35265,4,5,49.00,0.1232,6.04,214.80
87,36329,4,2,49.00,0.0149,0.73,96.54
88,39454,4,5,49.00,0.0866,4.24,223.80
89,42689,4,2,49.00,0.2465,12.08,73.84
90,43082,4,5,49.00,0.1120,5.49,217.55
91,43455,4,2,49.00,0.2000,9.80,78.40
92,43945,4,3,49.00,0.2604,12.76,108.72
93,45414,4,3,49.00,0.1487,7.29,125.13
94,46355,4,4,49.00,0.1589,7.79,164.84
