order_id,order_number,customer_id,store_id,order_date,status_id,payment_mode_id,channel_id,total_amount,discount_amount,net_amount,is_return,created_at
1,TXN00000001,8145,324,2024-09-02 00:00:00,3,1,1,853.65,5.45,853.65,0,2026-05-30 01:02:27
2,TXN00000002,14020,365,2024-06-09 00:00:00,3,1,1,295.74,4.26,295.74,0,2026-05-30 01:02:27
3,TXN00000003,14917,46,2025-07-23 00:00:00,3,2,1,324.92,7.77,324.92,0,2026-05-30 01:02:27
4,TXN00000004,10470,233,2025-09-23 00:00:00,3,3,1,341.50,6.70,341.50,0,2026-05-30 01:02:27
5,TXN00000005,3437,9,2025-08-17 00:00:00,3,1,1,411.94,3.03,411.94,0,2026-05-30 01:02:27
6,TXN00000006,4504,330,2024-02-29 00:00:00,3,4,1,66.64,0.68,66.64,0,2026-05-30 01:02:27
7,TXN00000007,4251,176,2025-08-14 00:00:00,3,3,1,501.15,9.77,501.15,0,2026-05-30 01:02:27
8,TXN00000008,16615,68,2024-08-15 00:00:00,3,1,1,563.16,12.28,563.16,0,2026-05-30 01:02:27
9,TXN00000009,16694,208,2025-01-20 00:00:00,3,2,1,692.36,71.91,692.36,0,2026-05-30 01:02:27
10,TXN00000010,13499,4,2025-10-23 00:00:00,3,3,1,420.65,20.87,420.65,0,2026-05-30 01:02:27
11,TXN00000011,19388,44,2025-11-21 00:00:00,3,2,1,922.83,17.39,922.83,0,2026-05-30 01:02:27
12,TXN00000012,8048,322,2024-03-26 00:00:00,3,3,1,142.60,6.48,142.60,0,2026-05-30 01:02:27
13,TXN00000013,11829,89,2025-09-22 00:00:00,3,2,1,29.52,0.48,29.52,0,2026-05-30 01:02:27
14,TXN00000014,5475,138,2025-03-12 00:00:00,3,5,1,139.05,1.19,139.05,0,2026-05-30 01:02:27
15,TXN00000015,5285,335,2024-07-06 00:00:00,3,2,1,1327.68,218.08,1327.68,0,2026-05-30 01:02:27
16,TXN00000016,15091,440,2025-02-11 00:00:00,3,6,1,57.53,2.47,57.53,0,2026-05-30 01:02:27
17,TXN00000017,19888,270,2024-02-19 00:00:00,3,3,1,479.80,35.05,479.80,0,2026-05-30 01:02:27
18,TXN00000018,2906,20,2024-06-06 00:00:00,3,2,1,247.06,6.47,247.06,0,2026-05-30 01:02:27
19,TXN00000019,19007,200,2024-06-30 00:00:00,3,3,1,356.22,0.26,356.22,0,2026-05-30 01:02:27
20,TXN00000020,15713,23,2024-09-20 00:00:00,3,2,1,534.84,26.58,534.84,0,2026-05-30 01:02:27
21,TXN00000021,17814,14,2025-01-08 00:00:00,3,6,1,367.10,6.58,367.10,0,2026-05-30 01:02:27
22,TXN00000022,3913,418,2024-12-25 00:00:00,3,2,1,2847.50,75.25,2847.50,0,2026-05-30 01:02:27
23,TXN00000023,6857,429,2025-01-22 00:00:00,3,2,1,216.48,1.76,216.48,0,2026-05-30 01:02:27
24,TXN00000024,19230,148,2025-12-28 00:00:00,3,2,1,1100.40,14.92,1100.40,0,2026-05-30 01:02:27
25,TXN00000025,9483,183,2024-05-20 00:00:00,3,6,1,974.05,10.19,974.05,0,2026-05-30 01:02:27
26,TXN00000026,6019,131,2025-10-01 00:00:00,3,6,1,1328.37,145.63,1328.37,0,2026-05-30 01:02:27
27,TXN00000027,10500,454,2024-03-26 00:00:00,3,2,1,650.45,4.91,650.45,0,2026-05-30 01:02:27
28,TXN00000028,12220,39,2025-03-20 00:00:00,3,4,1,1140.45,16.91,1140.45,0,2026-05-30 01:02:27
29,TXN00000029,8727,403,2024-02-23 00:00:00,3,5,1,901.36,9.66,901.36,0,2026-05-30 01:02:27
30,TXN00000030,19453,70,2024-10-17 00:00:00,3,2,1,497.52,10.62,497.52,0,2026-05-30 01:02:27
31,TXN00000031,4294,481,2024-02-26 00:00:00,3,3,1,172.42,8.79,172.42,0,2026-05-30 01:02:27
32,TXN00000032,2582,109,2025-01-01 00:00:00,3,4,1,120.76,14.62,120.76,0,2026-05-30 01:02:27
33,TXN00000033,9007,40,2024-04-02 00:00:00,3,3,1,159.71,10.29,159.71,0,2026-05-30 01:02:27
34,TXN00000034,18440,445,2025-10-02 00:00:00,3,6,1,437.30,7.70,437.30,0,2026-05-30 01:02:27
35,TXN00000035,10987,134,2025-02-14 00:00:00,3,2,1,527.45,29.51,527.45,0,2026-05-30 01:02:27
36,TXN00000036,2666,480,2024-09-13 00:00:00,3,6,1,61.70,3.30,61.70,0,2026-05-30 01:02:27
37,TXN00000037,9438,173,2024-05-13 00:00:00,3,3,1,791.35,11.73,791.35,0,2026-05-30 01:02:27
38,TXN00000038,3921,209,2024-08-09 00:00:00,3,3,1,366.35,1.73,366.35,0,2026-05-30 01:02:27
39,TXN00000039,7986,141,2024-10-05 00:00:00,3,2,1,414.24,1.92,414.24,0,2026-05-30 01:02:27
40,TXN00000040,17440,224,2025-02-14 00:00:00,3,3,1,110.76,3.08,110.76,0,2026-05-30 01:02:27
41,TXN00000041,11849,432,2025-11-21 00:00:00,3,2,1,266.32,3.42,266.32,0,2026-05-30 01:02:27
42,TXN00000042,16138,91,2024-10-30 00:00:00,3,3,1,157.44,16.56,157.44,0,2026-05-30 01:02:27
43,TXN00000043,1383,202,2025-05-07 00:00:00,3,3,1,216.24,0.94,216.24,0,2026-05-30 01:02:27
44,TXN00000044,8601,191,2024-11-28 00:00:00,3,2,1,56.16,0.92,56.16,0,2026-05-30 01:02:27
45,TXN00000045,8564,131,2025-08-08 00:00:00,3,2,1,104.12,1.94,104.12,0,2026-05-30 01:02:27
46,TXN00000046,510,126,2025-07-20 00:00:00,3,2,1,185.96,28.51,185.96,0,2026-05-30 01:02:27
47,TXN00000047,9913,323,2024-09-27 00:00:00,3,5,1,1673.36,16.66,1673.36,0,2026-05-30 01:02:27
48,TXN00000048,10582,418,2024-05-21 00:00:00,3,2,1,139.40,0.15,139.40,0,2026-05-30 01:02:27
49,TXN00000049,5595,302,2024-06-26 00:00:00,3,3,1,718.47,54.51,718.47,0,2026-05-30 01:02:27
50,TXN00000050,15262,256,2025-10-20 00:00:00,3,3,1,428.44,2.89,428.44,0,2026-05-30 01:02:27
51,TXN00000051,6050,12,2024-11-14 00:00:00,3,2,1,1550.55,42.15,1550.55,0,2026-05-30 01:02:27
52,TXN00000052,19400,237,2025-03-28 00:00:00,3,2,1,465.51,9.83,465.51,0,2026-05-30 01:02:27
53,TXN00000053,10929,340,2024-02-10 00:00:00,3,5,1,528.56,45.72,528.56,0,2026-05-30 01:02:27
54,TXN00000054,14212,158,2024-06-26 00:00:00,3,2,1,389.40,2.12,389.40,0,2026-05-30 01:02:27
55,TXN00000055,6415,354,2024-04-13 00:00:00,3,5,1,534.30,7.14,534.30,0,2026-05-30 01:02:27
56,TXN00000056,260,320,2024-11-17 00:00:00,3,2,1,29.25,0.25,29.25,0,2026-05-30 01:02:27
57,TXN00000057,2609,77,2025-03-20 00:00:00,3,6,1,201.39,1.87,201.39,0,2026-05-30 01:02:27
58,TXN00000058,3191,133,2024-01-23 00:00:00,3,2,1,339.16,30.42,339.16,0,2026-05-30 01:02:27
59,TXN00000059,8688,118,2025-09-05 00:00:00,3,2,1,494.79,4.07,494.79,0,2026-05-30 01:02:27
60,TXN00000060,4878,38,2024-10-21 00:00:00,3,2,1,53.44,3.28,53.44,0,2026-05-30 01:02:27
61,TXN00000061,16275,274,2025-09-19 00:00:00,3,5,1,152.92,12.08,152.92,0,2026-05-30 01:02:27
