supplier_id,supplier_code,supplier_name,supplier_type,city,state,payment_days,lead_time_days,annual_contract_value_lakh,is_preferred_vendor,years_associated,created_at
1,SUP001,Reddy & Sons,Manufacturer,Kolkata,West Bengal,15,2,144.11,0,6,2026-05-30 01:02:24
2,SUP002,Bharat FMCG Ltd,Manufacturer,Jodhpur,Rajasthan,60,16,136.59,0,9,2026-05-30 01:02:24
3,SUP003,Gupta FMCG Ltd,Distributor,Jaipur,Rajasthan,30,3,34.38,1,2,2026-05-30 01:02:24
4,SUP004,Haldiram Distributors,Direct Importer,Kolkata,West Bengal,45,15,79.39,0,18,2026-05-30 01:02:24
5,SUP005,Kumar FMCG Ltd,Local Vendor,Mumbai,Maharashtra,45,4,465.61,0,10,2026-05-30 01:02:24
6,SUP006,Suvidha & Sons,Distributor,Bhopal,Madhya Pradesh,75,9,34.38,0,10,2026-05-30 01:02:24
7,SUP007,Ganesh Foods Pvt Ltd,Manufacturer,Thiruvananthapuram,Kerala,30,17,70.72,0,1,2026-05-30 01:02:24
8,SUP008,Patel Industries Pvt Ltd,Wholesaler,Faridabad,Haryana,15,19,11.43,0,17,2026-05-30 01:02:24
9,SUP009,Sharma Agro Industries,Distributor,Thiruvananthapuram,Kerala,75,13,167.84,0,15,2026-05-30 01:02:24
10,SUP010,Nestle Supply Chain,Distributor,Gurugram,Haryana,60,12,422.42,0,22,2026-05-30 01:02:24
11,SUP011,Adani Wilmar Enterprises,Local Vendor,Warangal,Telangana,90,19,221.97,0,2,2026-05-30 01:02:24
12,SUP012,MTR & Sons,Wholesaler,Faridabad,Haryana,30,11,39.22,0,14,2026-05-30 01:02:24
13,SUP013,Amul Agro Industries,Wholesaler,Jaipur,Rajasthan,30,16,40.47,0,8,2026-05-30 01:02:24
14,SUP014,Dabur Trading Co,Wholesaler,Thane,Maharashtra,30,6,71.94,1,6,2026-05-30 01:02:24
15,SUP015,Marico Wholesale Mart,FMCG Brand,Madurai,Tamil Nadu,45,12,261.74,1,22,2026-05-30 01:02:24
16,SUP016,Aashirvaad Supply Chain,Local Vendor,New Delhi,Delhi,45,7,36.40,0,6,2026-05-30 01:02:24
17,SUP017,ITC FMCG Ltd,Wholesaler,Patna,Bihar,45,11,184.21,0,16,2026-05-30 01:02:24
18,SUP018,Iyer Distributors,Manufacturer,Faridabad,Haryana,60,5,77.22,1,14,2026-05-30 01:02:24
19,SUP019,Gupta Industries Pvt Ltd,Distributor,Patna,Bihar,30,21,42.34,0,11,2026-05-30 01:02:24
20,SUP020,Dabur Distributors,Local Vendor,Gurugram,Haryana,45,16,50.74,0,18,2026-05-30 01:02:24
21,SUP021,Agarwal Foods Pvt Ltd,Manufacturer,Coimbatore,Tamil Nadu,30,5,327.06,1,14,2026-05-30 01:02:24
22,SUP022,Reddy Trading Co,Wholesaler,Noida,Uttar Pradesh,30,10,313.81,1,2,2026-05-30 01:02:24
23,SUP023,Amul Agro Industries,Distributor,Jodhpur,Rajasthan,45,10,98.22,1,8,2026-05-30 01:02:24
24,SUP024,Reliance Retail Foods Pvt Ltd,Direct Importer,Warangal,Telangana,60,19,138.25,0,4,2026-05-30 01:02:24
25,SUP025,Verma Distributors,Direct Importer,Mumbai,Maharashtra,30,16,69.49,1,18,2026-05-30 01:02:24
26,SUP026,Adani Wilmar Trading Co,Direct Importer,Vijayawada,Andhra Pradesh,45,17,140.74,1,8,2026-05-30 01:02:24
27,SUP027,Sharma & Sons,Distributor,Bengaluru,Karnataka,30,19,225.23,1,3,2026-05-30 01:02:24
28,SUP028,Patel Foods Pvt Ltd,FMCG Brand,Faridabad,Haryana,45,11,80.48,0,18,2026-05-30 01:02:24
29,SUP029,Hindustan Unilever Supply Chain,Manufacturer,Warangal,Telangana,75,8,252.42,1,19,2026-05-30 01:02:24
30,SUP030,Britannia FMCG Ltd,FMCG Brand,Patna,Bihar,30,3,395.22,0,7,2026-05-30 01:02:24
31,SUP031,Patel Agro Industries,Manufacturer,Hyderabad,Telangana,45,19,238.56,0,21,2026-05-30 01:02:24
32,SUP032,Patel Foods Pvt Ltd,FMCG Brand,Mysuru,Karnataka,30,15,119.20,0,19,2026-05-30 01:02:24
33,SUP033,Sharma Wholesale Mart,Local Vendor,Faridabad,Haryana,15,4,39.40,1,22,2026-05-30 01:02:24
34,SUP034,Iyer Agro Industries,Local Vendor,New Delhi,Delhi,60,11,342.59,0,12,2026-05-30 01:02:24
35,SUP035,Adani Wilmar Trading Co,Local Vendor,Lucknow,Uttar Pradesh,75,19,32.41,1,1,2026-05-30 01:02:24
36,SUP036,Verma Foods Pvt Ltd,Manufacturer,Bengaluru,Karnataka,45,20,538.11,0,14,2026-05-30 01:02:24
37,SUP037,Nestle Distributors,Wholesaler,Kolkata,West Bengal,90,19,228.53,0,4,2026-05-30 01:02:24
38,SUP038,Iyer & Sons,FMCG Brand,Jodhpur,Rajasthan,15,17,189.45,1,9,2026-05-30 01:02:24
39,SUP039,Shah Trading Co,Local Vendor,Indore,Madhya Pradesh,30,16,161.66,0,16,2026-05-30 01:02:24
40,SUP040,Ganesh Supply Chain,Direct Importer,Kochi,Kerala,30,10,128.98,0,8,2026-05-30 01:02:24
41,SUP041,Bharat Enterprises,Distributor,Jodhpur,Rajasthan,45,20,811.21,0,2,2026-05-30 01:02:24
42,SUP042,Tata Consumer Industries Pvt Ltd,FMCG Brand,Jodhpur,Rajasthan,60,9,299.58,1,21,2026-05-30 01:02:24
43,SUP043,Patel Enterprises,Manufacturer,Noida,Uttar Pradesh,45,18,75.71,0,2,2026-05-30 01:02:24
44,SUP044,Haldiram Trading Co,Manufacturer,Delhi,Delhi,45,21,77.47,1,10,2026-05-30 01:02:24
45,SUP045,Annapurna Foods Pvt Ltd,Distributor,Hyderabad,Telangana,45,3,539.42,0,16,2026-05-30 01:02:24
46,SUP046,Singh Enterprises,FMCG Brand,Surat,Gujarat,90,16,161.64,0,22,2026-05-30 01:02:24
47,SUP047,Ganesh FMCG Ltd,Manufacturer,Vadodara,Gujarat,90,10,189.08,0,20,2026-05-30 01:02:24
48,SUP048,Gupta FMCG Ltd,Manufacturer,Patna,Bihar,60,3,192.42,1,13,2026-05-30 01:02:24
49,SUP049,Mahalakshmi Trading Co,Wholesaler,Mysuru,Karnataka,60,8,44.06,1,3,2026-05-30 01:02:24
50,SUP050,Mehta Enterprises,FMCG Brand,Coimbatore,Tamil Nadu,15,15,285.67,0,19,2026-05-30 01:02:24
51,SUP051,Reddy Supply Chain,Manufacturer,Kolkata,West Bengal,45,7,187.22,1,4,2026-05-30 01:02:24
52,SUP052,Annapurna Industries Pvt Ltd,Wholesaler,Visakhapatnam,Andhra Pradesh,15,15,27.38,1,10,2026-05-30 01:02:24
53,SUP053,Ganesh Agro Industries,Direct Importer,Vadodara,Gujarat,45,12,38.87,1,13,2026-05-30 01:02:24
54,SUP054,ITC Agro Industries,Direct Importer,Howrah,West Bengal,45,7,122.63,1,18,2026-05-30 01:02:24
55,SUP055,Ganesh Enterprises,Manufacturer,Amritsar,Punjab,30,9,422.56,0,1,2026-05-30 01:02:24
56,SUP056,Tata Consumer Distributors,Local Vendor,Amritsar,Punjab,90,6,330.70,0,10,2026-05-30 01:02:24
57,SUP057,Shah Distributors,Distributor,Rajkot,Gujarat,30,9,94.12,0,4,2026-05-30 01:02:24
58,SUP058,Royal Enterprises,Manufacturer,New Delhi,Delhi,60,10,473.58,0,10,2026-05-30 01:02:24
59,SUP059,Reliance Retail Industries Pvt Ltd,FMCG Brand,Howrah,West Bengal,90,5,700.57,0,22,2026-05-30 01:02:24
60,SUP060,Britannia Distributors,Manufacturer,Mysuru,Karnataka,60,17,40.68,1,16,2026-05-30 01:02:24
61,SUP061,Shah FMCG Ltd,FMCG Brand,Jodhpur,Rajasthan,30,19,146.21,1,6,2026-05-30 01:02:24
62,SUP062,Bharat Distributors,Direct Importer,Jaipur,Rajasthan,45,13,95.90,1,9,2026-05-30 01:02:24
63,SUP063,Royal Distributors,Manufacturer,Ludhiana,Punjab,45,4,140.57,0,8,2026-05-30 01:02:24
64,SUP064,Iyer Supply Chain,Distributor,Bhopal,Madhya Pradesh,15,7,16.08,0,15,2026-05-30 01:02:24
65,SUP065,Dabur Trading Co,FMCG Brand,New Delhi,Delhi,15,19,154.83,1,1,2026-05-30 01:02:24
